Wk,Time,Winner,Pts,Loser,Pts.1,winners,losers,home_rank,away_rank,home_team_code,away_team_code,home_results,win_rank,lose_rank,dates,day_code
3,8:00 PM,Virginia Tech,27,Boston College,10,Virginia Tech,Boston College,99,99,123,22,0,99,99,2022-09-10,5
3,12:00 PM,(23) Wake Forest,45,Vanderbilt,25,Wake Forest,Vanderbilt,99,99,121,209,1,23,99,2022-09-10,5
3,4:00 PM,Washington,52,Portland State,6,Washington,Portland State,99,99,125,150,0,99,99,2022-09-10,5
3,3:30 PM,Washington State,17,(19) Wisconsin,14,Washington State,Wisconsin,99,99,130,211,1,99,19,2022-09-10,5
3,7:00 PM,Weber State,35,Utah State,7,Weber State,Utah State,99,99,120,212,1,99,99,2022-09-10,5
3,2:00 PM,Western Michigan,37,Ball State,30,Western Michigan,Ball State,99,99,11,217,1,99,99,2022-09-10,5
3,4:00 PM,Wyoming,33,Northern Colorado,10,Wyoming,Northern Colorado,99,99,131,135,0,99,99,2022-09-10,5
4,7:30 PM,Florida State,35,Louisville,31,Florida State,Louisville,99,99,56,60,1,99,99,2022-09-16,4
4,8:00 PM,Wyoming,17,Air Force,14,Wyoming,Air Force,99,99,131,1,0,99,99,2022-09-16,4
4,4:00 PM,(2) Alabama,63,Louisiana-Monroe,7,Alabama,Louisiana-Monroe,2,99,2,98,0,2,99,2022-09-17,5
4,3:30 PM,Alabama-Birmingham,35,Georgia Southern,21,Alabama-Birmingham,Georgia Southern,99,99,3,66,0,99,99,2022-09-17,5
4,3:30 PM,Appalachian State,32,Troy,28,Appalachian State,Troy,99,99,4,197,0,99,99,2022-09-17,5
4,11:00 PM,Arizona,31,North Dakota State,28,Arizona,North Dakota State,99,99,5,132,0,99,99,2022-09-17,5
4,7:00 PM,(10) Arkansas,38,Missouri State,27,Arkansas,Missouri State,99,99,7,116,0,10,99,2022-09-17,5
4,12:00 PM,Army,49,Villanova,10,Army,Villanova,99,99,9,204,0,99,99,2022-09-17,5
4,2:00 PM,Ball State,31,Murray State,0,Ball State,Murray State,99,99,11,118,0,99,99,2022-09-17,5
4,12:00 PM,(17) Baylor,42,Texas State,7,Baylor,Texas State,99,99,12,191,0,17,99,2022-09-17,5
